temperature_2_m_above_gnd,relative_humidity_2_m_above_gnd,mean_sea_level_pressure_MSL,total_precipitation_sfc,total_cloud_cover_sfc,shortwave_radiation_backwards_sfc,wind_speed_10_m_above_gnd,angle_of_incidence,zenith,generated_power_kw
2.06,75,1030.4,0,0,147.74,6.73,32.713338,65.32969,2254.5837
4.49,63,1029.2,0,0,307.94,12.62,20.576122,60.666838,2634.1726
5.72,51,1028.1,0,0,435.21,14.78,14.469131,58.981793,2805.2676
6.46,64,1027.4,0,0,515.31,15.33,20.185275,60.529128,2768.1883
7.7,50,1026.4,0,0,542.9,15.54,32.216246,65.073948,2471.2245
8.44,49,1025.7,0,0,512.64,16.52,45.814478,72.03134,1233.002
8.25,53,1025.1,0,0.3,432.54,20.01,59.727037,80.640895,279.1891
7.62,58,1025,0,0,313.28,20.77,107.86229,117.92459,44.6431
3.41,89,1021.2,0,100,0,18.12,60.386895,80.959094,469.03596
4.89,78,1019.7,0,100,8.01,21.19,46.319282,72.180929,1433.8985
6.01,71,1019,0,100,67.64,24.54,32.656581,65.10769,1932.6989
7.08,57,1018,0,100,135.28,27.24,20.432759,60.418821,1754.4959
8.39,47,1016.6,0,91,358.67,31.45,14.216229,58.716822,612.54616
9.78,41,1014.7,0,6.3,497.51,31.56,19.974663,60.260732,115.7372
10.82,54,1013.4,0,35,523.32,33.65,32.0769,64.814288,209.28936
11.48,58,1012,0,20,435.21,37.36,45.717632,71.787259,178.17393
11.4,67,1011,0,37,424.53,43.39,59.660096,80.415065,240.54478
10.43,75,1010.4,0,16,292.81,46.06,121.4087,128.41537,3.9839181
6.23,87,1003.4,0,100,0,43.73,60.40414,80.786641,212.73694
6.5,85,1003,0,100,11.57,45.46,46.311223,71.983628,928.17262
7.27,80,1002.8,0,100,131.72,47.66,32.596869,64.879712,814.1026
8.06,77,1002.1,0,100,251.87,48.6,20.285948,60.165007,1170.5806
8.78,74,1001.3,0,100,390.71,48.94,13.958742,58.446545,751.5643
10.41,81,1001.9,0.1,78,480.6,47.52,19.764091,59.98786,258.036
11.15,78,1000.9,0.1,26,527.77,47.23,32.048902,64.596977,77.371552
11.65,77,1000.3,0.2,19,503.74,43.86,45.735938,71.602733,151.54448
11.42,81,999.2,0,100,407.62,43.12,59.706246,80.258856,3.274586
10.83,82,998.3,0,100,289.25,42.05,108.04516,117.52077,5.625
2.12,90,997.5,0.8,100,0,36.93,60.418493,80.608283,365.87528
1.28,91,998.5,0.3,100,9.79,36.74,46.294625,71.778193,1020.2754
1.12,90,1000.9,0,100,78.32,35.97,32.534323,64.64585,2046.7212
